instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
46,New,4,20.569484,22.537880,22.537880,25.960861,34.000000,34.000000,0.046377,0.484932,0.518723,0.539443,265,1523,3600.000000,4,6,6,GUROBI,1,0,0,0
47,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.048474,0.390040,0.424569,0.448566,260,1571,3600.000000,4,6,6,GUROBI,1,0,0,0
48,New,4,20.570922,22.537880,22.537880,25.850917,34.000000,34.000000,0.054708,0.139185,0.229565,0.232766,491,2285,3600.000000,4,6,6,GUROBI,1,0,0,0
49,New,4,20.570922,22.537880,22.537880,25.947922,34.000000,34.000000,0.037198,0.146808,0.160603,0.200596,253,1425,3600.000000,4,6,6,GUROBI,1,0,0,0
50,New,4,20.572359,22.537880,22.537880,26.025267,34.000000,34.000000,0.036348,0.240846,0.324721,0.327382,519,2257,3600.000000,4,6,6,GUROBI,1,0,0,0
51,New,4,20.695922,22.674755,22.674755,26.020370,34.000000,34.000000,0.035498,0.264319,0.286459,0.317402,284,1392,3600.000000,4,6,6,GUROBI,1,0,0,0
52,New,4,20.570922,22.558930,22.558930,25.916302,34.125000,34.125000,0.038568,0.396124,0.520670,0.528669,703,3079,3600.000000,4,6,6,GUROBI,1,0,0,0
53,New,4,20.455278,22.419840,22.419840,26.234678,33.875000,33.875000,0.034495,0.213228,0.288971,0.317166,564,2537,3600.000000,4,6,6,GUROBI,1,0,0,0
54,New,4,20.570922,22.537880,22.537880,26.059195,34.000000,34.000000,0.091641,0.263199,0.306916,0.347267,421,2240,3600.000000,4,6,6,GUROBI,1,0,0,0
55,New,4,20.569484,22.480010,22.480010,26.228095,33.875000,33.875000,0.036887,0.210100,0.260953,0.265572,249,1652,3600.000000,4,6,6,GUROBI,1,0,0,0
56,New,4,20.569484,22.537880,22.537880,25.901524,34.000000,34.000000,0.036703,0.130638,0.184905,0.211221,411,2011,3600.000000,4,6,6,GUROBI,1,0,0,0
57,New,4,20.530259,22.558930,22.558930,25.664292,34.125000,34.125000,0.039086,0.226448,0.309715,0.315520,419,2128,3600.000000,4,6,6,GUROBI,1,0,0,0
58,New,4,20.531696,22.537880,22.537880,25.785011,34.000000,34.000000,0.034498,0.151720,0.172326,0.196610,247,1195,3600.000000,4,6,6,GUROBI,1,0,0,0
59,New,4,20.575577,22.513852,22.513852,25.778283,34.000000,34.000000,0.036044,0.291186,0.364608,0.368292,332,1981,3600.000000,4,6,6,GUROBI,1,0,0,0
60,New,4,20.445922,22.427092,22.427092,26.310785,33.875000,33.875000,0.037977,0.440628,0.477862,0.494303,307,1486,3600.000000,4,6,6,GUROBI,1,0,0,0
61,New,4,20.570922,22.527142,22.527142,25.636324,34.000000,34.000000,0.037127,0.245806,0.352593,0.362496,602,2691,3600.000000,4,6,6,GUROBI,1,0,0,0
62,New,4,20.471297,22.412880,22.412880,26.778327,33.750000,33.750000,0.037529,0.202926,0.270469,0.287823,450,2352,3600.000000,4,6,6,GUROBI,1,0,0,0
